subid,AGE
00001,12.84
00002,14.17
00003,12.92
00004,12.73
00005,14.17
00006,14.35
00007,15.19
00008,8.51
00009,8.17
00010,9.75
00011,9.90
00012,16.55
00013,14.54
00014,17.50
00015,8.80
00016,12.01
00017,10.28
00018,9.69
00019,13.31
00020,15.23
00021,14.21
00022,11.20
00023,10.99
00024,10.45
00025,14.92
00026,17.35
00027,7.45
00028,9.43
00029,12.45
00030,10.46
00031,10.02
00032,9.50
00033,9.48
00034,12.07
00035,11.44
00036,17.67
00037,9.39
00038,15.62
00039,13.44
00040,8.44
00041,13.47
00042,12.84
00043,10.48
00044,12.79
00045,12.56
00046,7.97
00047,17.10
00048,12.60
00049,7.01
00050,10.17
00051,15.14
00052,7.04
00053,7.91
00054,13.46
00055,9.93
00056,16.44
00057,10.82
00058,8.86
00059,8.39
00060,13.35
00061,7.02
00062,11.53
00063,11.82
00064,14.53
00065,13.44
00066,8.09
00067,8.53
00068,16.04
00069,12.22
00070,15.08
00071,11.53
00072,11.84
00073,7.46
00074,15.79
00075,10.76
00076,15.87
00077,12.49
00078,14.37
00079,16.41
00080,7.66
00081,7.53
00082,9.13
00083,7.51
00084,11.94
00085,17.47
00086,8.69
00087,15.25
00088,9.07
00089,11.37
00090,10.19
00091,13.61
00092,9.10
00093,11.88
00094,8.18
00095,12.81
00096,10.30
00097,11.17
00098,12.52
00099,10.03
00100,13.13
00101,13.99
00102,7.20
00103,20.27
00104,11.39
00105,16.95
00106,13.20
00107,7.12
00108,6.47
00109,13.99
00110,11.91
00111,10.53
00112,7.02
00113,17.35
00114,9.61
00115,11.73
00116,18.81
00117,15.10
00118,15.95
00119,14.53
00120,15.22
00121,7.06
00122,12.18
00123,10.28
00124,10.26
00125,11.09
00126,7.70
00127,15.67
00128,8.95
00129,8.20
00130,7.67
00131,9.42
00132,9.43
00133,9.20
00134,13.86
00135,14.41
00136,14.04
00137,11.31
00138,18.19
00139,13.46
00140,6.99
00141,9.74
00142,7.82
00143,10.13
00144,9.57
00145,15.65
00146,12.78
00147,9.99
00148,12.59
00149,16.92
00150,9.01
00151,6.71
00152,10.72
00153,14.85
00154,13.64
00155,8.16
00156,13.32
00157,8.67
00158,15.02
00159,13.48
00160,11.81
00161,9.56
00162,8.42
00163,12.12
00164,14.41
00165,13.11
00166,10.14
00167,15.79
00168,17.07
00169,16.93
00170,13.46
00171,14.49
00172,7.49
00173,14.27
00174,11.77
00175,7.77
00176,8.29
00177,14.86
00178,7.85
00179,14.82
00180,10.30
00181,7.49
00182,9.99
00183,11.43
00184,10.30
00185,18.48
00186,13.73
00187,8.70
00188,10.32
00189,12.49
00190,9.31
00191,12.92
00192,17.73
00193,12.93
00194,12.00
00195,11.26
00196,11.86
00197,11.89
00198,10.19
00199,6.55
00200,9.34
00201,13.60
00202,14.12
00203,16.71
00204,13.00
00205,6.40
00206,7.00
00207,7.72
00208,10.69
00209,11.06
00210,12.46
00211,9.10
00212,10.85
00213,7.97
00214,9.72
00215,17.59
00216,14.96
00217,14.11
00218,8.04
00219,8.64
00220,13.90
00221,16.95
00222,10.02
00223,7.43
00224,7.75
00225,9.05
00226,15.17
00227,7.77
00228,9.87
00229,11.08
00230,8.86
00231,8.48
00232,7.94
00233,16.76
00234,7.15
00235,10.80
00236,14.47
00237,11.78
00238,16.42
00239,11.34
00240,16.04
00241,16.50
00242,10.27
00243,15.47
00244,6.84
00245,13.10
00246,8.38
00247,8.54
00248,9.29
00249,15.47
00250,15.32
00251,8.45
00252,7.72
00253,12.58
00254,12.45
00255,17.24
00256,8.51
00257,11.09
00258,13.33
00259,7.79
00260,6.03
00261,15.50
00262,14.56
00263,11.43
00264,11.28
00265,12.74
00266,15.18
00267,8.85
00268,8.09
00269,11.83
00270,9.32
00271,12.72
00272,15.33
00273,13.94
00274,16.53
00275,6.98
00276,9.59
00277,15.42
00278,14.64
00279,16.03
00280,6.89
00281,13.44
00282,9.90
00283,7.52
00284,7.52
00285,18.45
